City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
230,umm kaddadah,13.6017,26.6876,308.69,30,Clouds,3.72,SD,1686847303
231,kavaratti,10.5669,72.642,302.65,76,Clouds,6.62,IN,1686847304
232,abou el hassan,36.4166,1.1962,299.08,50,Clouds,5.35,DZ,1686847304
233,kralendijk,12.15,-68.2667,304.14,70,Clouds,11.32,BQ,1686847028
234,talnakh,69.4865,88.3972,280.49,84,Clouds,0.91,RU,1686847306
235,mosjoen,65.836,13.1908,292.44,42,Clear,3.6,NO,1686847307
236,kargasok,59.0556,80.8572,279.91,64,Clouds,3.36,RU,1686847307
237,winchester,51.0651,-1.3187,300.58,35,Clear,3.09,GB,1686847308
238,tindouf,27.6711,-8.1474,311.4,18,Clear,3.09,DZ,1686847309
239,eirunepe,-6.6603,-69.8736,297.0,56,Clouds,2.38,BR,1686847314
240,likasi,-10.9814,26.7333,291.21,43,Clear,0.64,CD,1686847315
241,palikir - national government center,6.9248,158.1611,300.45,80,Rain,5.22,FM,1686847316
242,chernyshevskiy,63.0128,112.4714,280.49,78,Clouds,4.81,RU,1686847317
243,la passe,45.5549,-0.8967,299.09,71,Clear,5.32,FR,1686847317
244,saint-philippe,-21.3585,55.7679,297.92,79,Rain,4.15,RE,1686847319
245,shiyan,32.6475,110.7781,295.45,66,Rain,0.81,CN,1686847320
246,lompoc,34.6391,-120.4579,292.98,78,Mist,2.06,US,1686847321
247,cabo san lucas,22.8909,-109.9124,306.76,39,Clear,2.06,MX,1686847229
248,barnstable,41.7001,-70.2995,296.66,75,Clouds,5.14,US,1686847322
249,minas de marcona,-15.2119,-75.1103,291.8,56,Clouds,5.27,PE,1686847323
250,nikel,69.4128,30.222,282.25,50,Clear,9.24,RU,1686847324
251,kohtla-jarve,59.3986,27.2731,291.08,56,Clear,1.22,EE,1686847325
252,shangqiu,34.45,115.65,301.32,36,Clouds,3.39,CN,1686847326
253,udachny,66.4167,112.4,283.43,63,Clouds,7.65,RU,1686847327
254,timimoun,29.2639,0.231,314.36,10,Clouds,3.09,DZ,1686847328
255,camacupa,-12.0167,17.4833,291.53,30,Clouds,0.47,AO,1686847329
256,trofaiach,47.4167,15.0,293.96,64,Clouds,1.83,AT,1686847329
257,kinmparana,12.8402,-4.9199,306.35,45,Clouds,5.55,ML,1686847330
258,kodiak,57.79,-152.4072,279.88,93,Rain,10.8,US,1686847331
259,vila velha,-20.3297,-40.2925,300.12,76,Clouds,5.14,BR,1686847332
260,zaqatala,41.6336,46.6433,293.41,88,Rain,4.12,AZ,1686847333
261,altayskoye,51.9533,85.3325,283.42,87,Clear,2.02,RU,1686847335
262,noumea,-22.2763,166.4572,294.82,99,Clouds,1.42,NC,1686847336
263,mata-utu,-13.2816,-176.1745,300.9,77,Rain,4.97,WF,1686847337
264,portland,45.5234,-122.6762,289.14,72,Clouds,2.57,US,1686847162
